Configuration,Method,sm_efficiency,achieved_occupancy,warp_exec_efficiency,inst_per_warp,inst_executed,gld_efficiency,gst_efficeincy,shared_efficiency,ipc,shared_utilization,l2_utilization,tex_cache_hit_rate,tex_utilization,global_hit_rate,inst_issued,issue_slot_utilization,Time
(16_16_64) CuGEMM,CuDNN Gemm,82.23,0.195929,99.68,1.69E+04,405752,100,25,30.23,2.622962,5,1,45.88,1,4.59,405975,59.81,3383.61
(16_8_64) CuGEMM,CuDNN Gemm,48.78,0.124701,99.03,1.67E+04,133520,100,25,30.23,2.260676,3,1,46.99,1,0,133615,51.04,6069.22
(32_32_64) CuGEMM,CuDNN Gemm,90.9,0.347349,99.96,3.31E+04,3446512,100,25,30.23,3.124816,7,1,47.78,1,3.67,3446902,70.86,3834.74
(32_8_64) CuGEMM,CuDNN Gemm,49.36,0.124847,99.51,3.28E+04,262720,100,25,30.23,2.294649,3,1,48.45,1,0,262815,44.77,5254.4
(1_256_3) Precomp GEMM,Precomp GEMM,99.77,0.463789,94.59,1.73E+03,6868100,76.88,25,35.71,3.76973,5,1,79.7,1,89.93,6868549,85.37,8370.3
(1_400_6) Precomp GEMM,Precomp GEMM,99.91,0.457439,94.26,1.76E+03,17236817,72.94,25,35.71,3.701101,5,1,71.04,1,90.78,17237487,83.82,21111.8
(1_320_6) Precomp GEMM,Precomp GEMM,99.86,0.457582,94.25,1.76E+03,10976557,72.85,25,35.71,3.697948,5,1,71.12,1,90.86,10977098,83.79,13552.9
(1_256_6) Precomp GEMM,Precomp GEMM,99.78,0.455504,94.25,1.76E+03,6981245,72.73,25,35.71,3.696445,5,1,71.17,1,91.04,6981682,83.81,8778.19
(1_128_6) Precomp GEMM,Precomp GEMM,99.07,0.44736,94.24,1.76E+03,1691677,72.15,25,35.71,3.672437,5,1,71.15,1,91.08,1692010,83.17,2389.27
(1_32_6) Precomp GEMM,Precomp GEMM,86.06,0.284907,93.99,1.76E+03,87925,68.4,25,35.71,2.867814,3,1,69.85,1,87.25,88228,65.28,767.33
(1_256_9) Precomp GEMM,Precomp GEMM,99.77,0.456017,95.45,1.76E+03,6981245,70.68,25,35.71,3.693626,5,1,65.38,1,91.95,6981683,83.76,8764.06
(1_64_9) Precomp GEMM,Precomp GEMM,95.87,0.4168,95.39,1.76E+03,397421,69.11,25,35.71,3.493377,4,1,65.1,1,90.94,397717,79.25,1394.62
(1_256_12) Precomp GEMM,Precomp GEMM,99.58,0.184991,100,4.29E+03,4259290,78.07,100,59.88,2.853202,4,1,81.27,1,85.19,4259651,64.65,24062.5
(1_64_12) Precomp GEMM,Precomp GEMM,95.88,0.416731,96.59,1.76E+03,397421,66.62,25,35.71,3.489724,4,1,61.2,1,91.72,397719,79.09,1812.14
(3_150_16) Precomp GEMM,Precomp GEMM,99.12,0.182145,100,8.46E+03,2823970,76.28,88.88,56.39,3.236114,4,1,83.35,2,80.37,2824304,71.85,20309.4
(3_64_16) Precomp GEMM,Precomp GEMM,96.94,0.429652,99.41,3.95E+03,891909,67.55,25,35.71,3.720874,5,1,76.7,1,90.57,892224,84.72,1507.51
(3_32_16) Precomp GEMM,Precomp GEMM,89.64,0.284729,99.29,3.95E+03,197325,65.71,25,35.71,3.100322,4,1,75.29,1,87.27,197627,70.88,1220.1
(6_150_16) Precomp GEMM,Precomp GEMM,99.36,0.182446,100,1.47E+04,4913140,77.34,88.88,54.74,3.527133,5,1,81.44,2,71.71,4913491,77.12,23457.9
(6_128_16) Precomp GEMM,Precomp GEMM,99.07,0.181017,100,1.47E+04,3559820,77.85,100,54.74,3.513407,5,1,82.63,2,74.15,3560152,76.76,13979.5
(6_70_16) Precomp GEMM,Precomp GEMM,97.95,0.444636,99.85,7.23E+03,1980609,69.86,19.99,35.71,3.888527,6,1,68.79,2,61.4,1980939,88.68,2851.58
(6_32_16) Precomp GEMM,Precomp GEMM,91.27,0.287535,99.8,7.23E+03,361425,68.31,25,35.71,3.263135,5,1,78.66,1,81.75,361734,74.09,1862.59
(6_16_16) Precomp GEMM,Precomp GEMM,91.83,0.076741,99.46,7.23E+03,72285,63.83,25,35.71,1.418144,2,1,75.94,1,74.86,72393,32.39,1231.38
(6_8_16) Precomp GEMM,Precomp GEMM,47.16,0.031095,97.8,7.23E+03,14457,53.19,25,35.71,0.583555,1,1,75.92,1,67.02,14479,13.31,1200.33
(6_32_32) Precomp GEMM,Precomp GEMM,91.83,0.28874,99.77,7.34E+03,367050,65.02,25,35.71,3.245799,4,2,62.19,2,59.24,367357,74.17,1419.21
(6_16_32) Precomp GEMM,Precomp GEMM,92.34,0.077541,99.32,7.34E+03,73410,61.92,25,35.71,1.404928,2,1,68.59,1,68.56,73519,32.15,1242.81
(6_8_32) Precomp GEMM,Precomp GEMM,47.24,0.031246,97.07,7.34E+03,14682,54.35,25,35.71,0.581117,1,1,68.28,1,58.74,14703,13.26,1218.45
(16_32_32) Precomp GEMM,Precomp GEMM,92.97,0.298209,99.96,1.85E+04,922700,86.36,25,35.71,3.452986,5,2,66.16,2,46.38,923014,78.47,1891.31
(16_16_32) Precomp GEMM,Precomp GEMM,94.62,0.077506,99.78,1.85E+04,184540,80.97,25,35.71,1.507907,2,1,72.9,1,60.07,184650,34.43,1547.72
(16_8_32) Precomp GEMM,Precomp GEMM,48.79,0.031248,98.88,1.85E+04,36908,75,25,35.71,0.621069,1,1,69.27,1,43.48,36930,14.18,1858.86
(16_32_64) Precomp GEMM,Precomp GEMM,96.79,0.395953,99.96,1.85E+04,1845400,86.36,25,35.71,3.757241,6,2,64,2,41.91,1845725,85.86,2640.43
(16_16_64) Precomp GEMM,Precomp GEMM,97.63,0.14073,99.78,1.85E+04,369080,80.97,25,35.71,2.405476,4,1,70.6,1,56.02,369277,55.11,1852.39
(16_8_64) Precomp GEMM,Precomp GEMM,98.41,0.031248,98.88,1.85E+04,73816,75,25,35.71,0.621115,1,1,69.22,1,43.72,73857,14.18,1737.06
(32_32_64) Precomp GEMM,Precomp GEMM,90.98,0.146241,100,7.10E+04,1987720,80.36,100,52.88,3.55125,4,1,81.9,2,68.87,1988007,76.46,14646.3
(32_8_64) Precomp GEMM,Precomp GEMM,98.52,0.031249,99.43,3.63E+04,145216,75,25,35.71,0.634715,1,1,70.62,1,44.02,145263,14.48,1475.28
