==20861== NVPROF is profiling process 20861, command: ./mbnet
==20861== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==20861== Profiling application: ./mbnet
==20861== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
437.93ms  9.4410us                    -               -         -         -         -  64.000KB  6.4649GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
438.03ms     320ns                    -               -         -         -         -      600B  1.7462GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
438.15ms  149.04us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [111]
438.30ms  147.70us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [112]
438.45ms  147.48us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [113]
438.60ms  146.99us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [114]
438.74ms  147.16us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [115]
438.89ms  147.60us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [116]
439.04ms  146.90us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [117]
439.19ms  147.15us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [118]
439.34ms  146.96us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [119]
439.48ms  148.34us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [120]
439.63ms  146.90us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [121]
439.78ms  147.06us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [122]
439.93ms  146.90us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [123]
440.08ms  147.16us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [124]
440.23ms  146.99us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [125]
440.38ms  146.90us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [126]
440.52ms  147.22us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [127]
440.67ms  146.90us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [128]
440.82ms  148.28us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [129]
440.97ms  147.12us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [130]
441.12ms  147.00us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [131]
441.27ms  147.22us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [132]
441.41ms  146.84us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [133]
441.56ms  146.90us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [134]
441.71ms  146.96us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [135]
441.86ms  147.15us            (961 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[128][128]*, float[124][124]*, float[5][5][1]*) [136]
