==21394== NVPROF is profiling process 21394, command: ./mbnet
==21394== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21394== Profiling application: ./mbnet
==21394== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
434.26ms  22.081us                    -               -         -         -         -  114.84KB  4.9601GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
435.42ms  4.4800us                    -               -         -         -         -  9.3750KB  1.9957GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
477.34ms  1.1482ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [137]
478.49ms  1.1387ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [138]
479.63ms  1.6978ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [139]
481.33ms  2.0640ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [140]
483.40ms  1.5655ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [141]
484.97ms  1.5260ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [142]
486.50ms  1.4657ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [143]
487.96ms  1.4541ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [144]
489.42ms  1.4436ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [145]
490.87ms  1.4545ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [146]
492.32ms  1.7415ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [147]
494.07ms  1.1487ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [148]
495.22ms  1.1417ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [149]
496.36ms  1.4860ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [150]
497.85ms  1.9220ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [151]
499.77ms  1.1412ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [152]
500.91ms  1.1460ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [153]
502.06ms  1.1298ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [154]
503.19ms  1.1386ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [155]
504.33ms  1.1450ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [156]
505.48ms  1.1361ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [157]
506.62ms  1.1441ms            (289 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[70][70]*, float[66][66]*, float[5][5][6]*) [158]
