==21101== NVPROF is profiling process 21101, command: ./mbnet
==21101== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21101== Profiling application: ./mbnet
==21101== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
434.78ms  3.2010us                    -               -         -         -         -  16.000KB  4.7669GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
434.86ms     320ns                    -               -         -         -         -  1.1719KB  3.4925GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
437.84ms  58.252us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [159]
437.90ms  58.412us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [160]
437.96ms  58.411us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [161]
438.02ms  61.292us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [162]
438.08ms  58.828us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [163]
438.14ms  59.596us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [164]
438.20ms  58.731us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [165]
438.26ms  59.051us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [166]
438.32ms  58.635us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [167]
438.38ms  58.636us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [168]
438.44ms  59.212us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [169]
438.50ms  58.892us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [170]
438.56ms  59.852us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [171]
438.62ms  61.452us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [172]
438.68ms  60.172us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [173]
438.74ms  58.508us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [174]
438.80ms  58.956us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [175]
438.86ms  59.052us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [176]
438.92ms  58.732us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [177]
438.98ms  59.052us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [178]
439.04ms  58.987us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [179]
439.10ms  60.108us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [180]
439.17ms  59.852us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [181]
439.23ms  58.347us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [182]
439.29ms  59.915us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [183]
439.35ms  58.411us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [184]
439.41ms  58.412us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [185]
439.47ms  59.692us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [186]
439.53ms  60.812us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [187]
439.59ms  61.037us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [188]
439.65ms  59.115us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [189]
439.71ms  60.716us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [190]
439.77ms  58.315us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [191]
439.83ms  59.147us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [192]
439.89ms  60.235us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [193]
439.95ms  58.507us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [194]
440.01ms  59.756us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [195]
440.07ms  58.891us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [196]
440.13ms  59.468us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [197]
440.19ms  59.532us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [198]
440.26ms  58.252us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [199]
440.31ms  59.468us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [200]
440.37ms  58.892us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [201]
440.44ms  58.636us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [202]
440.49ms  59.051us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [203]
440.55ms  60.172us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [204]
440.62ms  58.571us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [205]
440.68ms  58.731us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [206]
440.74ms  59.371us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [207]
440.80ms  59.052us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [208]
440.86ms  58.348us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [209]
440.92ms  59.852us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [210]
440.98ms  59.052us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [211]
441.04ms  59.692us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [212]
441.10ms  59.372us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [213]
441.16ms  58.732us            (225 1 1)       (300 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[64][64]*, float[60][60]*, float[5][5][1]*) [214]
