==21652== NVPROF is profiling process 21652, command: ./mbnet
==21652== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21652== Profiling application: ./mbnet
==21652== Profiling result:
==21652== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 (0)"
    Kernel: convolution_naive(float[400][400]*, float[5][5][1]*, float[396][396]*)
          1                             inst_per_warp                                 Instructions per warp  189.000000  189.000000  189.000000
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency     100.00%     100.00%     100.00%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000309    0.000309    0.000309
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   17.333339   17.333339   17.333339
          1              gst_transactions_per_request                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions    25483475    25483475    25483475
          1                          gst_transactions                             Global Store Transactions      940928      940928      940928
          1                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                  L2 Read Transactions     8821392     8821392     8821392
          1                     l2_write_transactions                                 L2 Write Transactions      940943      940943      940943
          1                           global_hit_rate                     Global Hit Rate in unified l1/tex      65.38%      65.38%      65.38%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  12.447GB/s  12.447GB/s  12.447GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  1.3277GB/s  1.3277GB/s  1.3277GB/s
          1                            gld_throughput                                Global Load Throughput  99.578GB/s  99.578GB/s  99.578GB/s
          1                            gst_throughput                               Global Store Throughput  10.622GB/s  10.622GB/s  10.622GB/s
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      63.06%      63.06%      63.06%
          1                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      99.78%      99.78%      99.78%
          1                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)      63.09%      63.09%      63.09%
          1                      tex_cache_throughput                              Unified Cache Throughput  66.385GB/s  66.385GB/s  66.385GB/s
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  99.578GB/s  99.578GB/s  99.578GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  10.622GB/s  10.622GB/s  10.622GB/s
          1                        l2_read_throughput                                 L2 Throughput (Reads)  99.580GB/s  99.580GB/s  99.580GB/s
